"No.","Scan List Name","Scan Channel Member","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 2","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","Scans (All)","AA3E (U)|AA3E (V)|K3CX (U)|K3DN (U)|K3DN (V)|W3SK (U)|W3SK (V)|PAARC (V)|2MSIMP (V)|70SIMP (U)|CYCLE1 (U)|CYCLE2 (U)|GMRS 15 (U)|GMRS 16 (U)|GMRS 17 (U)|GMRS 18 (U)|GMRS 19 (U)|GMRS 20 (U)|GMRS 21 (U)|GMRS 22 (U)|WM3PEN (V)|WA3TSW (U)|WA3EPA (V)|W3WAN (U)|W3SBE (U)|W3QV (V)|W3PS (U)|W3PHL (V)|W3HJ (V)|W3HJ (U)|W3BXW (V)|W3AI (V)|W3AI (U)|SAR EMT (V)|N3ZA (V)|N3KZ (U)|N3EXA (U)|N3CB (U)|KD3WT (V)|KD3WT (U)|KB3AJF (U)|K3TU (U)","Off","Off","W3QV (V)","Off","Selected","0.5","0.5","0.1","0.1"
"2","Scans (Primary)","WM3PEN (V)|W3PHL (V)|PAARC (V)|W3WAN (U)|W3QV (V)","Off","Off","Off","Off","Selected","2.0","3.0","3.1","3.1"
