Channel Mode,Channel Name,RX Frequency(MHz),TX Frequency(MHz),Band Width,Scan List,Squelch,RX Ref Frequency,TX Ref Frequency,TOT[s],TOT Rekey Delay[s],Power,Admit Criteria,Auto Scan,Rx Only,Lone Worker,VOX,Allow Talkaround,Send GPS Info,Receive GPS Info,Private Call Confirmed,Emergency Alarm Ack,Data Call Confirmed,Allow Interrupt,DCDM Switch,Leader/MS,Emergency System,Contact Name,Group List,Color Code,Repeater Slot,In Call Criteria,Privacy,Privacy No.,GPS System,CTCSS/DCS Dec,CTCSS/DCS Enc,Rx Signaling System,Tx Signaling System,QT Reverse,Non-QT/DQT Turn-off Freq,Display PTT ID,Reverse Burst/Turn-off Code,Decode 1,Decode 2,Decode 3,Decode 4,Decode 5,Decode 6,Decode 7,Decode 8
1,W3PHL (U),421.25,439.25,2,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,131.8,131.8,0,0,0,2,1,1,0,0,0,0,0,0,0,0
1,W3PHL (V),146.76,146.16,2,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Off,131.8,0,0,0,2,1,1,0,0,0,0,0,0,0,0
1,W3QV,147.03,147.63,2,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,91.5,91.5,0,0,0,2,1,1,0,0,0,0,0,0,0,0
1,W3WAN,441.7,446.7,2,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,74.4,74.4,0,0,0,2,1,1,0,0,0,0,0,0,0,0
1,WM3PEN,146.685,146.085,2,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,146.2,146.2,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs DelVal (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,0,1,0,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs FC (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs Local 2 (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs Local 8 (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs Local 9 (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs Mid-Atlantic,440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs NA (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs Northeast,440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,0,1,0,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs PackRat (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,0,1,0,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs Parrot (C),440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs Pennsylvania,440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0,1,0,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs TAC 310,440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs TAC 311,440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs TAC 312,440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2,irs TAC 313,440.65,445.65,0,0,1,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,1,1,0,0,0,Off,Off,0,0,0,2,1,1,0,0,0,0,0,0,0,0
